id, topics,components,pr_number
9074,None,Office of the Attorney General; ,11-1488; 
9075,None,Office of the Attorney General; ,11-1487; 
9076,None,Civil Rights Division; ,11-1486; 
9077,None,Criminal Division; ,11-1485; 
9078,None,Environment and Natural Resources Division; ,11-1484; 
9079,None,Criminal Division; ,11-1481; 
9080,None,Tax Division; ,11-1483; 
9081,None,Tax Division; ,11-1480; 
9082,StopFraud; ,Criminal Division; ,11-1482; 
9083,None,Antitrust Division; ,11-1479; 
9084,None,Criminal Division; ,11-1478; 
9085,None,Environment and Natural Resources Division; ,11-1476; 
9086,StopFraud; ,Office of the Attorney General; ,11-1477; 
9087,None,Criminal Division; ,11-1475; 
9088,None,Civil Rights Division; ,11-1473; 
9089,None,Civil Division; ,11-1472; 
9090,None,Antitrust Division; ,11-1471; 
9091,None,Tax Division; ,11-1470; 
9092,None,Criminal Division; ,11-1469; 
9093,None,Criminal Division; ,11-1468; 
9094,None,Civil Rights Division; ,11-1467; 
9095,None,Civil Division; ,11-1466; 
9096,None,Civil Rights Division; ,11-1464; 
9097,None,Tax Division; ,11-1456; 
9098,Project Safe Childhood; ,Criminal Division; ,11-1463; 
9099,Project Safe Childhood; ,Criminal Division; ,11-1462; 
9100,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1460; 
9101,None,Tax Division; ,11-1459; 
9102,None,Criminal Division; ,11-1458; 
9103,Consumer Protection; ,Civil Division; ,11-1457; 
9104,None,Antitrust Division; ,11-1454; 
9105,None,Tax Division; ,11-1455; 
9106,None,Environment and Natural Resources Division; ,11-1453; 
9107,None,Criminal Division; ,11-1474; 
9108,None,Criminal Division; ,11-1447; 
9109,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1451; 
9110,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1452; 
9111,None,Criminal Division; ,11-1446; 
9112,None,Criminal Division; ,11-1450; 
9113,Intellectual Property; ,Criminal Division; ,11-1449; 
9114,None,Civil Rights Division; ,11-1448; 
9115,None,Tax Division; ,11-1445; 
9116,None,Civil Rights Division; ,11-1444; 
9117,None,Civil Rights Division; ,11-1443; 
9118,None,Office of the Attorney General; ,11-1442; 
9119,None,Tax Division; ,11-1441; 
9120,None,Criminal Division; ,11-1440; 
9121,StopFraud; ,Criminal Division; ,11-1438; 
9122,None,Civil Rights Division; ,11-1437; 
9123,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1436; 
9124,None,Office of Public Affairs; ,11-1435; 
9125,None,Tax Division; ,11-1434; 
9126,None,Criminal Division; ,11-1433; 
9127,None,Tax Division; ,11-1432; 
9128,None,Civil Rights Division; ,11-1431; 
9129,None,Environment and Natural Resources Division; ,11-1430; 
9130,None,Office of the Attorney General; ,11-1429; 
9131,None,Criminal Division; ,11-1428; 
9132,None,Office of the Attorney General; ,11-1425; 
9133,None,Antitrust Division; ,11-1424; 
9134,None,Office of the Attorney General; ,11-1423; 
9135,None,Civil Rights Division; ,11-1421; 
9136,None,Criminal Division; ,11-1420; 
9137,None,Civil Rights Division; ,11-1419; 
9138,None,Civil Rights Division; ,11-1418; 
9139,StopFraud; ,Antitrust Division; ,11-1417; 
9140,Project Safe Childhood; ,Criminal Division; ,11-1416; 
9141,None,Tax Division; ,11-1415; 
9142,None,Civil Rights Division; ,11-1414; 
9143,None,Criminal Division; ,11-1413; 
9144,None,National Security Division (NSD); ,11-1412; 
9145,Project Safe Neighborhoods; ,Office of the Deputy Attorney General; ,11-1411; 
9146,None,Environment and Natural Resources Division; ,11-1410; 
9147,None,Civil Division; ,11-1409; 
9148,None,Criminal Division; ,11-1407; 
9149,None,Criminal Division; ,11-1406; 
9150,None,Criminal Division; ,11-1405; 
9151,None,Criminal Division; ,11-1403; 
9152,None,National Security Division (NSD); ,11-1402; 
9153,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1401; 
9154,None,Criminal Division; ,11-1399; 
9155,None,Criminal Division; ,11-1398; 
9156,None,Criminal Division; ,11-1397; 
9157,None,Criminal Division; ,11-1395; 
9158,None,Criminal Division; ,11-1394; 
9159,None,Criminal Division; ,11-1393; 
9160,None,Antitrust Division; ,11-1392; 
9161,None,Environment and Natural Resources Division; ,11-1388; 
9162,None,Civil Division; ,11-1389; 
9163,None,Tax Division; ,11-1391; 
9164,None,Criminal Division; ,11-1387; 
9165,None,Criminal Division; ,11-1386; 
9166,None,National Security Division (NSD); ,11-1385; 
9167,None,Antitrust Division; ,11-1384; 
9168,None,Criminal Division; ,11-1383; 
9169,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1382; 
9170,None,Criminal Division; ,11-1378; 
9171,None,Civil Rights Division; ,11-1377; 
9172,None,Antitrust Division; ,11-1374; 
9173,None,Criminal Division; ,11-1372; 
9174,None,Criminal Division; ,11-1373; 
9175,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1369; 
9176,None,Tax Division; ,11-1368; 
9177,None,Antitrust Division; ,11-1367; 
9178,None,Tax Division; ,11-1366; 
9179,None,Office of the Attorney General; ,11-1365; 
9180,None,Antitrust Division; ,11-1364; 
9181,None,Criminal Division; ,11-1363; 
9182,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,11-1362; 
9183,None,Tax Division; ,11-1359; 
9184,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1360; 
9185,None,Criminal Division; ,11-1358; 
9186,Access to Justice; ,Office for Access to Justice; ,11-1357; 
9187,None,Office of the Associate Attorney General; ,11-1355; 
9188,None,Tax Division; ,11-1353; 
9189,None,Criminal Division; ,11-1352; 
9190,None,Criminal Division; ,11-1351; 
9191,None,Environment and Natural Resources Division; ,11-1349; 
9192,None,Office of the Attorney General; ,11-1348; 
9193,None,Criminal Division; ,11-1346; 
9194,None,National Security Division (NSD); ,11-1347; 
9195,None,Criminal Division; ,11-1345; 
9196,None,Tax Division; ,11-1343; 
9197,None,Antitrust Division; ,11-1344; 
9198,None,Environment and Natural Resources Division; ,11-1342; 
9199,None,Criminal Division; ,11-1341; 
9200,None,Office of the Attorney General; ,11-1339; 
9201,None,Criminal Division; ,11-1338; 
9202,None,Civil Rights Division; ,11-1337; 
9203,None,Environment and Natural Resources Division; ,11-1334; 
9204,Hate Crimes; ,Civil Rights Division; ,11-1336; 
9205,None,Civil Rights Division; ,11-1335; 
9206,None,National Security Division (NSD); ,11-1333; 
9207,None,Criminal Division; ,11-1332; 
9208,Project Safe Childhood; ,Criminal Division; ,11-1331; 
9209,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1330; 
9210,None,Civil Division; ,11-1329; 
9211,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1328; 
9212,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1326; 
9213,None,Civil Division; ,11-1323; 
9214,None,Criminal Division; ,11-1325; 
9215,None,Criminal Division; ,11-1324; 
9216,None,Criminal Division; ,11-1322; 
9217,None,Office of the Attorney General; ,11-1321; 
9218,None,Office of the Attorney General; ,11-1320; 
9219,None,Tax Division; ,11-1318; 
9220,None,Criminal Division; ,11-1317; 
9221,None,Tax Division; ,11-1316; 
9222,None,Antitrust Division; ,11-1315; 
9223,None,Tax Division; ,11-1314; 
9224,None,Criminal Division; ,11-1313; 
9225,None,Tax Division; ,11-1312; 
9226,None,Civil Rights Division; ,11-1310; 
9227,None,Civil Rights Division; ,11-1309; 
9228,Project Safe Childhood; ,Criminal Division; ,11-1308; 
9229,None,Tax Division; ,11-1307; 
9230,None,Environment and Natural Resources Division; ,11-1306; 
9231,None,Tax Division; ,11-1305; 
9232,None,Office of Public Affairs; ,11-1304; 
9233,None,Civil Rights Division; ,11-1302; 
9234,None,Environment and Natural Resources Division; ,11-1293; 
9235,None,Tax Division; ,11-1298; 
9236,None,Civil Rights Division; ,11-1301; 
9237,None,Office of the Attorney General; ,11-1300; 
9238,StopFraud; ,Antitrust Division; ,11-1294; 
9239,None,Civil Division; ,11-1299; 
9240,Consumer Protection; StopFraud; ,Civil Rights Division; ,11-1297; 
9241,None,Criminal Division; ,11-1296; 
9242,None,Antitrust Division; ,11-1295; 
9243,None,Tax Division; ,11-1290; 
9244,None,Antitrust Division; ,11-1292; 
9245,None,Antitrust Division; ,11-1291; 
9246,None,Tax Division; ,11-1288; 
9247,StopFraud; ,Criminal Division; ,11-1286; 
9248,None,Criminal Division; ,11-1287; 
9249,None,Civil Rights Division; ,11-1289; 
9250,None,Criminal Division; ,11-1285; 
9251,Project Safe Childhood; ,Criminal Division; ,11-1284; 
9252,Consumer Protection; ,Civil Division; ,11-1283; 
9253,None,Civil Division; ,11-1282; 
9254,Intellectual Property; ,Criminal Division; ,11-1281; 
9255,None,Antitrust Division; ,11-1279; 
9256,None,Office of the Attorney General; ,11-1278; 
9257,None,Civil Rights Division; Civil Rights - Disability Rights Section; Office of the Attorney General; ,11-1276; 
9258,StopFraud; ,Criminal Division; ,11-1277; 
9259,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1275; 
9260,None,Tax Division; ,11-1273; 
9261,None,National Security Division (NSD); ,11-1272; 
9262,None,Environment and Natural Resources Division; ,11-1271; 
9263,None,Antitrust Division; ,11-1270; 
9264,Project Safe Childhood; ,Criminal Division; ,11-1269; 
9265,None,Tax Division; ,11-1268; 
9266,None,Office of Public Affairs; ,11-1266; 
9267,None,Antitrust Division; ,11-1265; 
9268,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,11-1264; 
9269,None,Office of the Attorney General; ,11-1263; 
9270,None,Tax Division; ,11-1262; 
9271,None,Civil Division; ,11-1260; 
9272,None,Criminal Division; ,11-1259; 
9273,None,Civil Rights Division; ,11-1258; 
9274,None,Criminal Division; ,11-1257; 
9275,None,Civil Division; ,11-1256; 
9276,StopFraud; ,Criminal Division; ,11-1254; 
9277,Intellectual Property; ,Criminal Division; ,11-1253; 
9278,None,Tax Division; ,11-1252; 
9279,None,Criminal Division; ,11-1248; 
9280,None,Tax Division; ,11-1250; 
9281,None,Criminal Division; ,11-1249; 
9282,None,Civil Rights Division; ,11-1246; 
9283,Project Safe Childhood; ,Criminal Division; ,11-1245; 
9284,None,Criminal Division; ,11-1244; 
9285,None,Civil Division; ,11-1242; 
9286,None,Antitrust Division; ,11-1243; 
9287,None,Criminal Division; ,11-1241; 
9288,StopFraud; ,Criminal Division; ,11-1240; 
9289,Consumer Protection; ,Civil Division; ,11-1239; 
9290,None,Environment and Natural Resources Division; ,11-1238; 
9291,None,Tax Division; ,11-1237; 
9292,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1235; 
9293,None,Civil Rights Division; ,11-1234; 
9294,None,Tax Division; ,11-1233; 
9295,None,Criminal Division; ,11-1231; 
9296,None,Environment and Natural Resources Division; ,11-1229; 
9297,None,Civil Division; ,11-1230; 
9298,None,Environment and Natural Resources Division; ,11-1228; 
9299,None,Criminal Division; ,11-1227; 
9300,None,Civil Division; ,11-1226; 
9301,None,Tax Division; ,11-1225; 
9302,Intellectual Property; ,Criminal Division; ,11-1224; 
9303,None,Civil Rights Division; ,11-1223; 
9304,None,Civil Rights Division; ,11-1221; 
9305,None,Criminal Division; ,11-1219; 
9306,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1218; 
9307,Project Safe Childhood; ,Criminal Division; ,11-1217; 
9308,None,Criminal Division; ,11-1216; 
9309,None,Tax Division; ,11-1215; 
9310,None,Criminal Division; ,11-1214; 
9311,None,Tax Division; ,11-1213; 
9312,None,Office of the Attorney General; ,11-1212; 
9313,None,Environment and Natural Resources Division; ,11-1209; 
9314,None,Criminal Division; ,11-1210; 
9315,None,Criminal Division; ,11-1208; 
9316,None,Criminal Division; ,11-1207; 
9317,None,Office of the Attorney General; ,11-1205; 
9318,None,Criminal Division; ,11-1203; 
9319,None,Criminal Division; ,11-1202; 
9320,None,Civil Division; ,11-1201; 
9321,None,Criminal Division; ,11-1200; 
9322,None,Criminal Division; ,11-1199; 
9323,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1198; 
9324,None,Tax Division; ,11-1197; 
9325,None,Tax Division; ,11-1195; 
9326,StopFraud; ,Antitrust Division; ,11-1194; 
9327,None,Criminal Division; ,11-1193; 
9328,None,Antitrust Division; ,11-1193; 
9329,None,Tax Division; ,11-1192; 
9330,None,National Security Division (NSD); ,11-1189; 
9331,None,Tax Division; ,11-1191; 
9332,None,Tax Division; ,11-1190; 
9333,None,Tax Division; ,11-1188; 
9334,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1186; 
9335,None,Tax Division; ,11-1185; 
9336,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1184; 
9337,Indian Country Law and Justice; ,Office of the Associate Attorney General; Office on Violence Against Women; ,11-1183; 
9338,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1182; 
9339,StopFraud; ,Criminal Division; ,11-1181; 
9340,None,Environment and Natural Resources Division; ,11-1180; 
9341,None,Tax Division; ,11-1179; 
9342,None,Criminal Division; ,11-1177; 
9343,None,National Security Division (NSD); ,11-1173; 
9344,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1176; 
9345,None,Criminal Division; ,11-1173; 
9346,None,Tax Division; ,11-1172; 
9347,None,Antitrust Division; ,11-1171; 
9348,None,Antitrust Division; ,11-1170; 
9349,None,Civil Division; ,11-1167; 
9350,None,Civil Division; ,11-1169; 
9351,None,Criminal Division; ,11-1166; 
9352,None,Criminal Division; ,11-1165; 
9353,None,Civil Division; ,11-1162; 
9354,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1164; 
9355,None,Criminal Division; ,11-1163; 
9356,None,Tax Division; ,11-1161; 
9357,None,Civil Division; ,11-1160; 
9358,Intellectual Property; ,Criminal Division; ,11-1159; 
9359,Intellectual Property; ,Criminal Division; ,11-1158; 
9360,None,Criminal Division; ,11-1155; 
9361,None,Environment and Natural Resources Division; ,11-1157; 
9362,None,Tax Division; ,11-1154; 
9363,None,Antitrust Division; ,11-1153; 
9364,None,Tax Division; ,11-1152; 
9365,None,Civil Rights Division; ,11-1151; 
9366,None,Civil Rights Division; ,11-1149; 
9367,None,Office of the Attorney General; ,11-1148; 
9368,None,Criminal Division; ,11-1147; 
9369,None,Tax Division; ,11-1146; 
9370,None,Office of Public Affairs; ,11-1136; 
9371,None,Environment and Natural Resources Division; ,11-1144; 
9372,None,Tax Division; ,11-1143; 
9373,None,National Security Division (NSD); ,11-1142; 
9374,StopFraud; ,Criminal Division; ,11-1141; 
9375,None,Office of the Attorney General; ,11-1140; 
9376,None,Civil Rights Division; ,11-1139; 
9377,None,Criminal Division; ,11-1138; 
9378,None,Tax Division; ,11-1137; 
9379,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1135; 
9380,None,Criminal Division; ,11-1133; 
9381,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; Criminal Division; ,11-1131; 
9382,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1134; 
9383,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1132; 
9384,None,Criminal Division; ,11-1130; 
9385,None,Civil Division; ,11-1129; 
9386,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-1128; 
9387,Consumer Protection; ,Civil Division; ,11-1126; 
9388,None,Office of the Attorney General; ,11-1127; 
9389,None,Criminal Division; ,11-1125; 
9390,None,Civil Rights Division; ,11-1124; 
9391,None,Criminal Division; ,11-1123; 
9392,None,Tax Division; ,11-1122; 
9393,None,Tax Division; ,11-1121; 
9394,None,Tax Division; ,11-1120; 
9395,None,Antitrust Division; ,11-1118; 
9396,None,Criminal Division; ,11-1117; 
9397,None,Civil Rights Division; ,11-1116; 
9398,None,Criminal Division; ,11-1115; 
9399,None,Tax Division; ,11-1112; 
9400,StopFraud; ,Criminal Division; ,11-1114; 
9401,None,Antitrust Division; ,11-1113; 
9402,None,Office of the Attorney General; ,11-1111; 
9403,None,Office of the Attorney General; ,11-1110; 
9404,None,Criminal Division; ,11-1108; 
9405,None,Civil Rights Division; ,11-1109; 
9406,None,Civil Rights Division; ,11-1106; 
9407,None,Office of Public Affairs; ,11-1104; 
9408,None,Tax Division; ,11-1105; 
9409,None,Antitrust Division; ,11-1103; 
9410,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,11-1102; 
9411,None,Criminal Division; ,11-1097; 
9412,None,Criminal Division; ,11-1101; 
9413,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1099; 
9414,None,Criminal Division; ,11-1100; 
9415,None,Office of the Attorney General; ,11-1098; 
9416,None,Office of the Solicitor General; ,11-1096; 
9417,None,Civil Rights Division; ,11-1094; 
9418,None,Antitrust Division; ,11-1095; 
9419,None,Tax Division; ,11-1093; 
9420,None,Criminal Division; ,11-1092; 
9421,None,Tax Division; ,11-1091; 
9422,None,Office of the Attorney General; ,11-1090; 
9423,None,Criminal Division; ,11-1089; 
9424,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-1088; 
9425,None,Criminal Division; ,11-1087; 
9426,None,Criminal Division; ,11-1086; 
9427,Project Safe Childhood; ,Criminal Division; ,11-1084; 
9428,None,Criminal Division; ,11-1083; 
9429,None,Antitrust Division; ,11-1082; 
9430,None,Criminal Division; ,11-1081; 
9431,None,Civil Division; ,11-1080; 
9432,None,Criminal Division; ,11-1079; 
9433,None,Office of the Deputy Attorney General; ,11-1078; 
9434,StopFraud; ,Antitrust Division; ,11-1076; 
